collocation,count,count_nested,length,lambda,z
same time,9,0,2,5.223787904271349,13.446472559511529
proud of,27,0,2,4.375381873599322,13.445540790085978
stronger than,9,0,2,6.257532124549453,13.424557606287243
east room,5,0,2,8.598443082238816,13.42192562660826
thought possible,5,0,2,7.48704489877292,13.416810705512983
march 5th,6,0,2,9.755973137247578,13.401777556536134
THANK YOU,32,0,2,11.80972336175561,13.3938006743433
peter strzok,10,0,2,10.99037408976971,13.356601251507229
house intelligence,7,0,2,6.443292844668909,13.356302657925411
if they,15,0,2,3.693373353077483,13.34746522959513
cutting taxes,8,0,2,8.013908744449708,13.347235496675895
believe that,15,0,2,4.220737696887161,13.339842889234998
collusion between,6,0,2,6.256196195690814,13.33850301967719
your taxes,9,0,2,4.899344127596898,13.334982596067674
hurricane harvey,6,0,2,8.765432773743088,13.317326672022004
rest until,5,0,2,7.742873425345047,13.3107402863793
crowd expected,5,0,2,8.650572147673763,13.306466726851761
greatest witch,6,0,2,6.446232920198835,13.295196925328089
last year,9,0,2,4.8149035055239295,13.290997776702463
will always,17,0,2,3.9454240041732196,13.277826474584668
they don’t,14,0,2,4.063005160260755,13.268833143034342
intelligence community,5,0,2,8.490203740832603,13.263494094501361
i look,16,0,2,4.000817702538921,13.256075686600303
border wall,8,0,2,5.132315739173521,13.19305205467716
level playing,5,0,2,7.204786537283875,13.188009967666241
if we,15,0,2,3.6378718991500483,13.167160176223526
after many,12,0,2,4.0773736256268505,13.147947690133343
camp david,9,0,2,10.890303508517768,13.138078030461903
welcome prime,7,0,2,5.484662865706298,13.135165148382859
medical center,5,0,2,8.734244623397878,13.113103207450399
order to,30,0,2,4.087879355775096,13.076982051940206
what is,29,0,2,2.681892158845071,13.074502956192001
pouring into,9,0,2,7.1092908782421596,13.062136466486722
go down,8,0,2,5.037219319314191,13.06068992832677
coming into,9,0,2,4.727366085937856,13.050500096152929
weak on,16,0,2,4.5016173814514655,13.049181163508894
interviewed by,11,0,2,5.765396264312326,13.034686796799155
tough on,16,0,2,4.560470896037698,13.031529091321683
approval ratings,5,0,2,6.909373324079566,12.994735269662241
national guard,7,0,2,6.639514927690437,12.967246894100848
need 60,7,0,2,6.8462215319153366,12.96593870414415
obamacare premiums,6,0,2,7.441810102536616,12.960750972371903
henry mcmaster,8,0,2,10.612023788744377,12.950103429439547
many decades,9,0,2,5.6381304194232715,12.933079115787189
NO COLLUSION,6,0,2,9.204850948385763,12.907873438771087
dems want,10,0,2,4.394338493889125,12.887547157017803
illegal immigrants,13,0,2,9.04385852025073,12.863622774430066
jeff flake,5,0,2,8.934928196994246,12.842349419338566
big crowd,9,0,2,5.500785220412636,12.82919282882391
world leaders,6,0,2,5.82395493663621,12.826050613323318
2016 election,12,0,2,7.854159444282327,12.825284108747162
may be,14,0,2,4.474321394655279,12.820819627787772
lowest level,5,0,2,6.568643182187328,12.79390186239152
cannot allow,5,0,2,6.58208311569568,12.793259201066082
THE WALL,5,0,2,6.593993082082855,12.792437526376592
god bless,19,0,2,11.684779189383136,12.782595461157195
get smart,8,0,2,5.38945062498097,12.778967088968958
have a,50,0,2,1.930527152896265,12.777048491504711
FBI director,6,0,2,6.363882613064101,12.772611138396671
with the,116,0,2,1.3023284602000462,12.76966946753863
a deal,26,0,2,2.89289864344607,12.76680510951917
criminal aliens,8,0,2,10.979774322982305,12.764744797813403
does not,10,0,2,4.715536709269331,12.757286886181394
patrol agents,5,0,2,9.75599889136019,12.745901855919374
mainstream media,13,0,2,7.714161634292949,12.728671002431382
make a,23,0,2,3.0580549911460664,12.677999057668314
people are,29,0,2,2.509870582450679,12.674320482211295
we can,19,0,2,3.220858889324939,12.66575450050012
unfair trade,7,0,2,5.879016064442654,12.657862884660874
general john,5,0,2,6.482310616331223,12.641010780025496
welcome president,10,0,2,4.366829036790028,12.638234644050517
presidential proclamation,5,0,2,8.542808837925113,12.621677072507614
never forget,7,0,2,6.428467266906958,12.606217673973418
mitch mcconnell,7,0,2,10.653940484566148,12.598165954064685
very well,11,0,2,4.200939047439296,12.575906338430519
of dollars,23,0,2,3.4559518072667683,12.544639736442182
a long,23,0,2,3.1048606312548945,12.54285488217249
very proud,10,0,2,4.549631374155883,12.541926783402225
along with,14,0,2,4.8634619082893895,12.539492750653197
election day,8,0,2,4.809421696553133,12.508964021496778
got caught,5,0,2,6.963487530136534,12.49423163346156
many other,10,0,2,4.3073974051248385,12.481550785456465
school shooting,4,0,2,7.712516103577633,12.474719827475232
failing new,8,0,2,4.845780159625605,12.46740667005443
FISA abuse,4,0,2,8.752233835626363,12.455893784425232
opioid crisis,4,0,2,8.752233835626363,12.455893784425232
west side,4,0,2,8.44991433034583,12.41778379708249
DNC server,4,0,2,7.564070339702992,12.415128325941902
heading to,26,0,2,3.7687154954089332,12.411219427481933
market hits,5,0,2,7.223725607722905,12.402076625514013
will soon,15,0,2,3.851809160848697,12.39409025169907
campaign promise,5,0,2,7.0287151680634805,12.387444055762451
highest stock,5,0,2,6.184542552291877,12.368287115439902
i would,21,0,2,2.9036361285055006,12.336300927190662
melania and,23,0,2,4.447829353724215,12.332534310495209
collusion with,14,0,2,3.938956086766884,12.322791106511437
market hit,5,0,2,6.218036244407403,12.320604223313053
total disaster,5,0,2,6.218036244407403,12.320604223313053
gun free,4,0,2,7.945722869874716,12.316737424792116
don’t want,9,0,2,4.404085381535747,12.312274689918127
mike pompeo,6,0,2,10.34378555626231,12.295701736859307
loved ones,5,0,2,10.208009768552602,12.29107000479325
really well,7,0,2,5.007731319536969,12.290669611444065
day for,19,0,2,3.2039554908364565,12.27851234010168
billion dollar,6,0,2,8.428793095500652,12.277438207484854
roy moore,7,0,2,11.105951361758562,12.271503546925562
must stop,8,0,2,4.753348410644501,12.25620509244341
lower taxes,5,0,2,6.4968183344411745,12.250549857495278
since election,8,0,2,4.649801891200322,12.23938576958116
very little,9,0,2,4.893456228497914,12.229897330030454
court justice,5,0,2,6.089154996961363,12.228208739985003
that he,19,0,2,3.0330292984528553,12.225208875852882
can be,18,0,2,3.144932584876828,12.223950580096043
presidential executive,4,0,2,7.267740123765876,12.223459659160989
bringing back,7,0,2,6.209510636431617,12.218664525366588
is now,28,0,2,2.521605022676197,12.19937094096429
7 trillion,4,0,2,7.217716822734733,12.182506055764993
NFL players,4,0,2,7.098296210728954,12.173763645320536
you for,35,0,2,2.188403006784206,12.169501360555742
level since,5,0,2,6.057598517305156,12.166068226709013
looks like,12,0,2,8.544415310875731,12.165930043960604
@senatemajldr mcconnell,4,0,2,9.11998437052758,12.164257617686909
than anyone,7,0,2,5.498363386346432,12.162347378158534
whether or,7,0,2,6.609993853629339,12.159866994141433
politically correct,6,0,2,10.711536089836981,12.159008417182447
